symptoms,diagnosis,home_remedy
"pain in lower right abdomen, nausea, vomiting","Appendicitis","Seek emergency surgery"
"muscle cramps, spasms, twitching","Muscle Strain","Rest, hydrate, apply cold or warm compress"
"pain in shoulders, neck stiffness, decreased range of motion","Cervical Strain","Neck exercises; warm compress"
"muscle weakness, fatigue, droopy eyelids","Myasthenia Gravis","Avoid overexertion; take meds on time"
"joint stiffness, mild muscle pain, fatigue","Polymyalgia Rheumatica","Stretching and anti-inflammatory diet"
"calf pain during walking, leg cramps","Peripheral Artery Disease","Exercise regularly; stop smoking"
"pain while chewing, jaw clicking sound","TMJ Disorder","Soft foods; jaw relaxation exercises"
"generalized muscle ache after activity","Delayed Onset Muscle Soreness (DOMS)","Stretch; warm bath with Epsom salt"
"red rash, burning skin after contact","Contact Dermatitis","Avoid irritants; apply hypoallergenic moisturizer"
"red bumps, itching around hair follicles","Folliculitis","Warm compress; keep area clean and dry"
"vaginal itching, thick white discharge","Yeast Infection","Wear cotton underwear; apply antifungal cream"
"pelvic pain, irregular menstruation, acne","Polycystic Ovary Syndrome (PCOS)","Maintain healthy weight; reduce sugar intake"
"frequent urination, pain when peeing","Bladder Infection (Cystitis)","Drink lots of water; avoid caffeine"
"mild lower back pain, cloudy urine, fatigue","Mild Kidney Infection","Hydrate; rest; consult doctor if symptoms persist"
"itchy scalp, hair loss patches","Seborrheic Dermatitis","Use medicated shampoo; avoid harsh products"
"small white or flesh-colored bumps on skin","Molluscum Contagiosum","Avoid scratching; keep clean and dry"
"vaginal dryness, discomfort during intercourse","Vaginal Atrophy","Use water-based lubricant; stay hydrated"
"frequent urination at night, mild burning sensation","Overactive Bladder","Limit fluids before bed; bladder training"
